Step,State_Code,State_Name,Duration_Days,Total_Time
343,2,Облачно (2),0.4407,590.0813
344,3,Пасмурно (3),7.3637,597.445
345,2,Облачно (2),0.6006,598.0456
346,1,Ясно (1),2.9781,601.0237
347,2,Облачно (2),0.6345,601.6582
348,3,Пасмурно (3),0.7583,602.4164
349,2,Облачно (2),0.0886,602.505
350,1,Ясно (1),2.618,605.123
351,2,Облачно (2),3.4142,608.5373
352,3,Пасмурно (3),2.143,610.6803
353,2,Облачно (2),1.2622,611.9425
354,3,Пасмурно (3),2.1394,614.0819
355,2,Облачно (2),1.789,615.8709
356,3,Пасмурно (3),0.2583,616.1292
357,1,Ясно (1),0.8922,617.0213
358,2,Облачно (2),1.0248,618.0461
359,3,Пасмурно (3),0.7705,618.8166
360,1,Ясно (1),1.7658,620.5823
361,2,Облачно (2),0.4027,620.985
362,3,Пасмурно (3),4.4037,625.3887
363,2,Облачно (2),0.4626,625.8512
364,3,Пасмурно (3),1.5996,627.4509
365,2,Облачно (2),0.1285,627.5793
366,3,Пасмурно (3),0.4256,628.0049
367,2,Облачно (2),3.6039,631.6088
368,3,Пасмурно (3),0.1662,631.775
369,2,Облачно (2),0.9407,632.7157
370,3,Пасмурно (3),1.523,634.2387
371,1,Ясно (1),2.445,636.6837
372,2,Облачно (2),2.0847,638.7684
373,3,Пасмурно (3),0.1141,638.8825
374,2,Облачно (2),1.7131,640.5956
375,3,Пасмурно (3),5.9529,646.5485
376,2,Облачно (2),0.1329,646.6814
377,1,Ясно (1),0.1846,646.866
378,2,Облачно (2),0.6689,647.5349
379,1,Ясно (1),3.1473,650.6823
380,3,Пасмурно (3),1.9248,652.6071
381,2,Облачно (2),0.6772,653.2843
382,3,Пасмурно (3),0.5032,653.7875
383,1,Ясно (1),1.0418,654.8293
384,3,Пасмурно (3),3.7232,658.5525
385,2,Облачно (2),0.2991,658.8516
386,3,Пасмурно (3),0.8588,659.7104
387,2,Облачно (2),1.1565,660.8669
388,3,Пасмурно (3),4.7584,665.6254
389,2,Облачно (2),0.7341,666.3595
390,3,Пасмурно (3),2.5529,668.9124
391,2,Облачно (2),0.9256,669.838
392,3,Пасмурно (3),0.9389,670.7769
393,1,Ясно (1),2.3497,673.1266
394,2,Облачно (2),1.3644,674.491
395,1,Ясно (1),1.1522,675.6432
396,2,Облачно (2),1.7613,677.4045
397,1,Ясно (1),6.1558,683.5602
398,2,Облачно (2),1.4978,685.058
399,3,Пасмурно (3),0.622,685.68
400,2,Облачно (2),0.7595,686.4395
401,3,Пасмурно (3),0.4043,686.8438
402,2,Облачно (2),0.6434,687.4872
403,3,Пасмурно (3),0.9251,688.4123
404,1,Ясно (1),0.1687,688.581
405,2,Облачно (2),1.1347,689.7157
406,3,Пасмурно (3),2.2917,692.0074
407,2,Облачно (2),0.8558,692.8632
408,1,Ясно (1),0.5107,693.3739
409,2,Облачно (2),1.3773,694.7512
410,1,Ясно (1),3.1497,697.9009
411,3,Пасмурно (3),1.1161,699.017
412,2,Облачно (2),0.5224,699.5394
413,3,Пасмурно (3),0.4645,700.0039
414,2,Облачно (2),1.6201,701.6239
415,1,Ясно (1),5.6998,707.3237
416,3,Пасмурно (3),0.4554,707.7792
417,1,Ясно (1),0.055,707.8341
418,2,Облачно (2),0.7492,708.5833
419,1,Ясно (1),0.5238,709.1071
420,2,Облачно (2),0.2056,709.3127
421,3,Пасмурно (3),1.3006,710.6133
422,2,Облачно (2),2.023,712.6363
